Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Georgy Zhukov;870001;U11;1930;1930;1930;1990;2;6;128;4;0;5;0;AR142;1930;1960;1999;x
Arlabosse;870002;U11;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;1999;x
Armand;870003;U11;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;1999;x
Armingeat;870004;U11;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;1999;x
Audet;870005;U11;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;1999;x
Aymé;870006;U11;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;1999;x
Barreau;870007;U11;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;1999;x
Bastien;870008;U11;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;1999;x
Beaumont;870009;U11;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;1999;x
Blanchet;870010;U11;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;1999;x
Blaizot;870011;U11;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;1999;x
Carlès;870012;U11;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;1999;x
Carpentier;870013;U11;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;1999;x
Condé;870014;U11;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;1999;x
Corap;870015;U11;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;1999;x
Crepin-Artu;870016;U11;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;1999;x
d'Arras;870017;U11;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;1999;x
d'Harcourt;870018;U11;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;1999;x
