Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Tetsuzan Nagata;150013;U24;1930;1930;1930;1990;1;4;0;2;0;5;0;AR258;1930;1990;1999;x
Hayashi Senjuru;5003711;U24;1943;1944;1990;1990;3;5;1;2;0;5;0;L101036;1943;1990;1999;x
Tsuji Masanobu;5018711;U24;1930;1990;1990;1990;3;4;0;1;0;5;0;L101189;1930;1990;1999;x
Minami Jiro;150115;U24;1930;1930;1930;1990;1;5;4;3;0;5;0;L101117;1930;1990;1999;x
Saito  Makoto;150144;U24;1937;1942;1990;1990;2;4;0;2;0;5;0;L101146;1937;1990;1999;x
Jun Ushiroku;150336;U24;1930;1930;1930;1939;1;5;8704;4;0;5;2;L101340;1930;1944;1999;x
Kanji Ishiwara;150065;U24;1930;1930;1990;1990;2;6;20;4;0;5;0;L101064;1930;1943;1999;x
Kenkichi Ueda;150189;U24;1914;1924;1932;1932;2;7;2;2;0;5;0;731;1914;1932;1999;x
Yoshijiro Umezu;150190;U24;1930;1930;1930;1990;1;6;0;3;0;5;0;L101192;1930;1990;1999;x
Hideyoshi Obata;150317;U24;1930;1930;1990;1990;2;7;16384;2;0;5;2;L101321;1930;1990;1999;x
Hideyoshi Obata;150317;U24;1930;1930;1990;1990;2;7;16384;2;0;5;2;L101321;1930;1990;1999;x
Hideki Tojo;150179;U24;1930;1930;1937;1990;1;6;20;3;0;5;0;L101181;1930;1990;1999;x
Hideki Tojo;150331;U24;1930;1930;1938;1990;1;4;16384;3;0;5;2;L101335;1930;1990;1999;x
Hiroyasu Fushimi;150348;U24;1930;1930;1930;1930;1;4;512;1;0;5;1;L101354;1930;1990;1999;x
Yamamoto Isoroku;150292;U24;1929;1934;1940;1943;0;7;12288;5;0;5;1;L101296;1929;1956;1960;x
