Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
MacArthur;240246;U00;1930;1930;1941;1944;0;9;7;4;0;5;0;L60250;1920;1951;1999;x
Stilwell;240336;U00;1930;1942;1943;1990;1;9;21;4;0;5;0;L60341;1935;1946;1999;x
Patton G.S.;240290;U00;1939;1943;1945;1990;1;9;148;5;0;5;0;L60294;1939;1945;1999;x
Eisenhower;240145;U00;1940;1942;1943;1944;0;9;1;5;0;5;0;L60145;1940;1970;1999;x
Moseley;815001;U00;1900;1900;1900;1900;0;4;0;1;0;5;0;AR41;1935;1970;1999;x
Booth C.;240794;U00;1897;1990;1990;1990;3;6;64;1;0;5;0;1841;1897;1914;1999;x
Boynton;240795;U00;1897;1990;1990;1990;3;6;512;2;0;5;0;1842;1897;1899;1999;x
Breintnall;240796;U00;1897;1990;1990;1990;3;5;0;1;0;5;0;1843;1897;1914;1999;x
Brewster;240797;U00;1905;1990;1990;1990;3;5;0;1;0;5;0;unknownleader;1905;1922;1999;x
Bricker;240798;U00;1916;1990;1990;1990;3;6;4;1;0;5;0;1844;1916;1932;1999;x
Brown L.;240799;U00;1918;1990;1990;1990;3;6;32;1;0;5;0;1845;1918;1932;1999;x
Bryan;240800;U00;1900;1990;1990;1990;3;6;0;2;0;5;0;1846;1900;1920;1999;x
Burns;240801;U00;1897;1990;1990;1990;3;5;0;2;0;5;0;1847;1897;1901;1999;x
Carr E.;240802;U00;1897;1990;1990;1990;3;5;0;2;0;5;0;1848;1897;1905;1999;x
Carr I.;240803;U00;1918;1990;1990;1990;3;5;0;1;0;5;0;1849;1918;1932;1999;x
Catlin;240804;U00;1916;1990;1990;1990;3;6;0;2;0;5;0;1850;1916;1932;1999;x
Catlin I.;240805;U00;1897;1990;1990;1990;3;5;512;2;0;5;0;1851;1897;1900;1999;x
Chamberlain;240806;U00;1897;1897;1990;1990;2;6;512;2;0;5;0;1852;1897;1899;1999;x
Cheatham;240807;U00;1914;1990;1990;1990;3;6;1;1;0;5;0;1853;1914;1940;1999;x
Churchill;240808;U00;1916;1990;1990;1990;3;6;0;2;0;5;0;1854;1916;1940;1999;x
Cole W.;240809;U00;1916;1990;1990;1990;3;6;0;2;0;5;0;1855;1916;1940;1999;x
Carmichael;240810;U00;1918;1990;1990;1990;3;5;0;1;0;5;0;unknownleader;1918;1940;1999;x
Conner;240811;U00;1914;1920;1990;1990;3;6;16;2;0;5;0;1856;1914;1940;1999;x
