U24;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
151001;Head of State;Hirohito;1901;1990;1990;NS;Puppet Emperor;High;M5001;X
151002;Head of State;Hiranuma Kiichiro;1911;1953;1953;FA;Local tyrant2;High;M5041;X
151003;Foreign Minister;Hayashi Senjuro;1911;1944;1944;PA;General Staffer;Medium;M5033;X
151004;Head of Government;Tetsuzan Nagata;1912;1956;1956;PA;political protege;Medium;AR258;X
151005;Minister of Security;Adachi Kenzo;1902;1948;1948;FA;silent lawyer;Medium;AR250;X
151006;Minister of Armament;Konoe Fumimaro;1999;1999;1999;PA;Planned economy proponent;High;M5034;X
151007;Head of Military Intelligence;Hayashi Senjuro;1920;1944;1944;PA;political specialist;Medium;M5033;X
151008;Chief of Staff;Tetsuzan Nagata;1902;1948;1948;FA;school of fire support;Medium;AR258;X
151009;Chief of Army;Jiro Minami;1912;1956;1956;NS;decisive battle doctrine;Medium;AR257;X
151011;Chief of Navy;Saito Makoto;1893;1941;1941;PA;Decisive Naval Battle Doctrine;High;2759;X
151012;Chief of Air Force;Ushiroku Jun;1919;1974;1974;FA;Army Aviation Doctrine;Medium;M5195;X


