U11;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
870001;Head of State;Boris Souvarine;1933;1964;1999;LE;benevolent gentleman;High;AR134;X
870002;Head of Government;Marx Dormoy;1933;1964;1999;LE;silent workhorse;Medium;AR135;X
870003;Foreign Minister;Jacques Duclos;1933;1964;1999;ST;the cloak n dagger schemer;Very High;AR136;X
870004;Minister of Armament;Daniel Renoult;1933;1964;1999;LE;Mixed economy;Medium;AR137;X
870005;Minister of Security;Jacques Doriot;1933;1964;1999;ST;Prince of Terror;Very High;AR138;X
870006;Head of Military Intelligence;Pierre Brossolette;1933;1964;1999;LE;Political Specialist;Medium;AR139;X
870007;Chief of Staff;Luc Masson;1933;1964;1999;LE;school of manoeuvre;Medium;AR140;X
870008;Chief of Army;Edouard Moreau;1933;1964;1999;LE;Guerilla warfare doctrine;Medium;AR141;X
870009;Chief of Navy;André Marty;1924;1964;1999;ST;Indirect Approach Doctrine;Medium;M2018;X
870010;Chief of Air Force;Charles Tillon;1924;1964;1999;ST;Army Aviation Doctrine;High;M2180;X
870011;Chief of Staff;Georgy Zhukov;1933;1964;1999;ST;school of manoeuvre;Medium;AR142;X
870012;Chief of Army;Georgy Zhukov;1933;1964;1999;ST;Deep Battle Proponent2;Medium;AR142;X
