U04;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
835001;Head of State;Conseil de régence;1933;1964;1999;FA;undistinguished suit;High;AR143;X
835002;Head of Government;Charles Maurras;1933;1964;1999;FA;flamboyant tough guy;High;AR144;X
835003;Foreign Minister;Jacques Bainville;1933;1964;1999;NS;iron fisted brute;Medium;AR145;X
835004;Minister of Armament;Eugène Deloncle;1933;1964;1999;FA;Planned economy proponent;Medium;AR146;X
835005;Minister of Security;Maxime Real del Sarte;1936;1964;1999;FA;Media magnate;Medium;AR147;X
835006;Head of Military Intelligence;André Dewavrin;1933;1964;1999;FA;industrial specialist;Medium;AR148;X
835007;Chief of Staff;Louis Franchet d'Espèrey;1933;1964;1999;FA;school of defence;Medium;AR149;X
835008;Chief of Army;Henri d'Astier de la Vigerie;1933;1964;1999;FA;Decisive Battle Doctrine;Medium;AR150;X
835009;Chief of Navy;Antoine Schwerer;1933;1964;1999;FA;Power Projection Doctrine;Medium;AR151;X
835010;Chief of Air Force;René Fonck;1933;1964;1999;FA;air superiority doctrine;Medium;AR152;X
835011;Head of State;Henri VI d'Orléans;1933;1964;1999;PA;popular figurehead;High;AR153;X
835012;Head of State;Alphonse I d'Bourbon;1933;1964;1999;PA;popular figurehead;High;AR154;X
