U03;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
830001;Head of State;Pierre Taittinger;1914;1964;1999;NS;insignificant layman;Medium;AR164;X
830002;Head of Government;Pierre Drieu La Rochelle;1914;1964;1999;NS;Paranoid megalomaniac;Medium;AR182;X
830003;Foreign Minister;Henri de Kérillis;1914;1964;1999;NS;biased intellectual;Medium;AR166;X
830004;Minister of Armament;Huber Lagardelle;1914;1964;1999;NS;planned economy proponent;Medium;AR167;X
830005;Minister of Security;Philippe Henriot;1914;1964;1999;NS;Man of the People;Medium;AR168;X
830006;Head of Military Intelligence;Xavier Vallat;1914;1964;1999;NS;prince of terror;Medium;AR169;X
830007;Chief of Staff;François de La Rocque;1914;1964;1999;FA;school of psychology;Medium;AR170;X
830008;Chief of Army;Noel Édouard de Castelnau;1914;1964;1999;FA;Guns and Butter Doctrine;Medium;AR171;X
830009;Chief of Navy;Jean de Laborde;1914;1964;1999;SL;Base Control Doctrine;Medium;AR173;X
830010;Chief of Air Force;Jean Mermoz;1914;1964;1999;FA;Air Superiority Doctrine;Medium;AR172;X

