U14;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
885001;Head of State;Pierre Monatte;1933;1964;1999;LWR;weary stiffneck;High;AR174;X
885002;Head of Government;Léon Jouhaux;1933;1964;1999;LWR;silent workhorse;High;AR175;X
885003;Foreign Minister;Benoit Frachon;1933;1964;1999;LWR;Ideological Crusader;High;AR176;X
885004;Minister of Armament;Vittorio Vidali;1933;1964;1999;LWR;Infantry Proponent;High;M3087;X
885005;Minister of Security;Antonio Pesenti;1933;1964;1999;LWR;Compassionate Gentleman;High;M3024;X
885006;Head of Military Intelligence;Antonio Pesenti;1933;1964;1999;LWR;Industrial Specialist;High;M3024;X
885007;Chief of Staff;Conseil de la Garde Revolutionnaire;1933;1964;1999;LWR;School of Mass Combat;High;AR177;X
885008;Chief of Army;Conseil de la Garde Revolutionnaire;1933;1964;1999;LWR;Doctrine of autonomy;High;AR177;X
885009;Chief of Navy;Conseil de la Garde Revolutionnaire;1933;1964;1999;LWR;Indirect Approach Doctrine;High;AR177;X
885010;Chief of Air Force;Conseil de la Garde Revolutionnaire;1933;1964;1999;LWR;Army Aviation Doctrine;High;AR177;X

